open3dcp_column,block,target_entity,mapping_class,notes
cem_ii_a_s,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_b_s,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_a_v,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_b_v,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_a_l,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_b_l,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_a_ll,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_b_ll,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_a_m,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_ii_b_m,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_iii_a,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_iii_b,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_iii_c,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_iv_a,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_iv_b,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_v_a,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cem_v_b,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cac,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
csa_cement,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_unspecified,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_other,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cement_designation,Composition,material: MaterialSpecification — designation string,normalized,
cement_standard,Composition,material: MaterialSpecification — designation system,partial,
cement_strength_class_mpa,Composition,material: MaterialProperty (intrinsic),normalized,
cement_early_strength_class,Composition,material: MaterialProperty (intrinsic),normalized,
fly_ash,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
fly_ash_type_f,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
fly_ash_type_c,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
silica_fume,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
nano_silica,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
slag,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
metakaolin,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
limestone,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
pumice,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
bottom_ash,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
rice_husk_ash,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
sodium_hydroxide,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
sodium_silicate,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
potassium_hydroxide,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
potassium_silicate,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
activator_ms_ratio,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
na2o_dosage_pct,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
nano_clay,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
mineral_powder,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
mwcnt,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
graphene_oxide,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
recycled_sand,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
iron_oxide_pigment,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
titanium_dioxide_pigment,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
chromium_oxide_pigment,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
carbon_black_pigment,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
pigment_other,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
mason_sand,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
fine_sand,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
concrete_sand,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
coarse_sand,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
fine_agg_unspecified,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_89,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_8,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_7,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_67,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_6,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_57,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_5,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_467,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_4,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_357,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_3,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_2,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_size_1,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
coarse_agg_unspecified,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
agg_fraction_d_lower_mm,Composition,material: MaterialSpecification — size fraction d/D,normalized,
agg_fraction_d_upper_mm,Composition,material: MaterialSpecification — size fraction d/D,normalized,
steel_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
pp_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
glass_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
carbon_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
pva_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
basalt_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
nylon_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
aramid_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
cellulose_fiber,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
fiber_length_mm,Composition,material: MaterialProperty (intrinsic),normalized,
fiber_diameter_mm,Composition,material: MaterialProperty (intrinsic),normalized,
fiber_aspect_ratio,Composition,material: MaterialProperty (intrinsic),normalized,
fiber_tensile_strength_mpa,Composition,material: MaterialProperty (intrinsic),normalized,
superplasticizer,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
water_reducer,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
accelerator,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
calcium_formate,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
retarder,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
air_entrainer,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
vma,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
shrinkage_reducer,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
corrosion_inhibitor,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
hpmc,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
sepiolite_clay,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
attapulgite,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
calcium_bentonite,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
water,Composition,material: MaterialStock + MaterialSpecification — constituent + dosage,partial,AM-CDM's composition model is alloy/powder-shaped; a multi-constituent cementitious mix needs a material-module domain extension
w_c_ratio,Composition,material: MaterialProperty (derived),derived,
w_b_ratio,Composition,material: MaterialProperty (derived),derived,
a_b_ratio,Composition,material: MaterialProperty (derived),derived,
water_premix_pct,Composition,process: ManufacturingProcessStep (mixing) parameter,normalized,
water_temperature_c,Composition,process: ManufacturingProcessStep (mixing) parameter,normalized,
aggregate_moisture_state,Composition,material: MaterialStock — storage/condition attributes,partial,
aggregate_absorption_pct,Composition,material: MaterialStock — storage/condition attributes,partial,
aggregate_moisture_content_pct,Composition,material: MaterialStock — storage/condition attributes,partial,
original_basis,Composition,base: Quantity (SingleValue + unit),partial,record-basis semantics; no direct AM-CDM concept
admixture_basis,Composition,base: Quantity (SingleValue + unit),partial,record-basis semantics; no direct AM-CDM concept
total_batched_mass_kg_m3,Composition,base: Quantity (SingleValue + unit),partial,record-basis semantics; no direct AM-CDM concept
total_binder_kg_m3,Composition,base: Quantity (SingleValue + unit),partial,record-basis semantics; no direct AM-CDM concept
test_age_days,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
specimen_prep,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
specimen_geometry,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
specimen_length_mm,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
specimen_width_mm,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
specimen_height_mm,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
test_orientation,Conditions,TIC: PartSpecimen.PartSpecimenOrientation (ISO/ASTM 52921),partial,52921 orientation coding exists; no 3DCP layer-relative testing-direction convention
test_orientation_code,Conditions,TIC: PartSpecimen.PartSpecimenOrientation (ISO/ASTM 52921),partial,52921 orientation coding exists; no 3DCP layer-relative testing-direction convention
test_method_code,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
n_specimens,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
curing_regime,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
curing_regime_code,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
curing_temperature_c,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
curing_humidity_pct,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
curing_duration_days,Conditions,TIC: Specimen / MaterialStockSpecimen + ticSpecimen; standards via specStandard,normalized,
is_3d_printed,Processing,-,no_map,"no ISO/ASTM 52900 process-category attribute at the pinned commit, and the system modalities (LPBF / EB-PBF / DED / BinderJet) omit material extrusion — the MEX category exists in the standard, not the model"
print_speed_mm_s,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
layer_height_mm,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
layer_time_gap_s,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
nozzle_diameter_mm,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
nozzle_shape,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
nozzle_area_mm2,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
filament_width_mm,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
layer_width_mm,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
extrusion_rate_l_min,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
num_layers,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
path_length_mm,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
infill_pattern,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
contour_count,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
print_direction,Processing,build/process: Build -> ManufacturingProcessStep -> BuildParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
pump_type,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
pump_pressure_bar,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
pump_rotational_speed_rpm,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
pump_distance_m,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
pipe_diameter_mm,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
pumping_duration_s,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
mixing_time_s,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
mixing_speed_rpm,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
mixer_type,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
shear_rate_per_s,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
admixture_addition_point,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
aggregate_prewetted,Processing,system/process: AMSystem component + GlobalProcessParameters / PartSpecificProcessParameters,normalized,held as generic build/process parameters; no controlled extrusion-3DCP vocabulary exists in AM-CDM — the Open3DCP process block is candidate content for a domain profile
mix_temperature_c,Conditions,"base/build: Environment (mfgSpecEnvironment, BuildEnvironmentalControl)",normalized,
