lab_name,is_3d_printed,specimen_prep,specimen_length_mm,specimen_width_mm,specimen_height_mm,test_orientation,test_orientation_code,test_method_code,test_age_days,flexural_strength_mpa,n_specimens,density_hardened_kg_m3,measurement_confidence,doi,source_citation,provenance_notes,original_basis
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.45,40.55,40.349999999999994,,,,29.0,6.0829573655488955,1,2122.4476573570405,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17259 (EXP_FLEX_01_a_spec_119); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,161.05,40.900000000000006,39.95,,,,29.0,5.873231052296462,1,2112.8758090332335,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17260 (EXP_FLEX_01_a_spec_120); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.55,40.95,38.2,,,,29.0,5.193620282844809,1,2093.994766434563,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17261 (EXP_FLEX_01_a_spec_121); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEV1; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,162.5,40.099999999999994,41.15,cast,CAST,,28.0,5.92756035645647,1,2115.6567409404333,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17265 (EXP_FLEX_01_a_spec_125); mix prefix 01_a; full orientation CAST; 4-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,161.25,40.150000000000006,40.275000000000006,cast,CAST,,28.0,5.389452312308428,1,2169.52848559897,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17266 (EXP_FLEX_01_a_spec_126); mix prefix 01_a; full orientation CAST; 4-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,162.0,41.099999999999994,40.349999999999994,cast,CAST,,28.0,5.877455126568532,1,2131.703546031342,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17267 (EXP_FLEX_01_a_spec_127); mix prefix 01_a; full orientation CAST; 4-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.0,39.599999999999994,39.75,,,,28.0,7.110237727937978,1,2154.008639857697,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17272 (EXP_FLEX_01_a_spec_132); mix prefix 01_a; full orientation W.U; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.0,40.5,40.05,,,,28.0,7.093243585620624,1,2141.613107072949,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17273 (EXP_FLEX_01_a_spec_133); mix prefix 01_a; full orientation W.U; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.0,40.4,40.099999999999994,,,,28.0,6.541529992701763,1,2131.50601219723,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17274 (EXP_FLEX_01_a_spec_134); mix prefix 01_a; full orientation W.U; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.0,40.3,40.5,,,,28.0,6.113597492968261,1,2098.076157215942,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17277 (EXP_FLEX_01_a_spec_137); mix prefix 01_a; full orientation W.U; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.5,40.15,39.95,,,,28.0,4.461036280356609,1,2141.4632336074433,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17278 (EXP_FLEX_01_a_spec_138); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.0,40.349999999999994,41.5,,,,28.0,4.630251621436254,1,2127.095743569072,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17279 (EXP_FLEX_01_a_spec_139); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.5,40.3,40.0,,,,28.0,5.569931389578163,1,2144.3534859271967,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17282 (EXP_FLEX_01_a_spec_142); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,399.0,100.0,99.75,cast,CAST,,28.0,8.440650498426518,1,2224.106632496027,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17285 (EXP_FLEX_01_a_spec_145); mix prefix 01_a; full orientation CAST; 4-point bending; condition DEFAULT; source object cast concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,399.25,101.0,99.5,cast,CAST,,28.0,7.004923618040449,1,2178.8203496013457,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17286 (EXP_FLEX_01_a_spec_146); mix prefix 01_a; full orientation CAST; 4-point bending; condition DEFAULT; source object cast concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,398.5,101.25,100.5,cast,CAST,,28.0,7.5656359807742195,1,2173.6200266384976,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17287 (EXP_FLEX_01_a_spec_147); mix prefix 01_a; full orientation CAST; 4-point bending; condition DEFAULT; source object cast concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,399.0,100.0,99.5,,,,28.0,4.899573243099922,1,2182.088386796136,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17291 (EXP_FLEX_01_a_spec_151); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEFAULT; source object concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,399.5,99.5,99.0,,,,28.0,5.925864400053528,1,2195.272388541613,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17292 (EXP_FLEX_01_a_spec_152); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEFAULT; source object concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,402.0,98.5,98.0,,,,28.0,6.391055334389013,1,2248.675817019739,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17293 (EXP_FLEX_01_a_spec_153); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEFAULT; source object concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,398.0,99.0,99.5,,,,28.0,3.7452375322631126,1,2175.2333057603128,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17298 (EXP_FLEX_01_a_spec_158); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEV1; source object concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,399.25,100.5,100.0,,,,28.0,3.77044776119403,1,2203.3850783652183,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17299 (EXP_FLEX_01_a_spec_159); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEV1; source object concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,399.0,100.5,100.25,,,,28.0,2.8442683442879755,1,2169.665301701668,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17300 (EXP_FLEX_01_a_spec_160); mix prefix 01_a; full orientation U.W; 4-point bending; condition DEV1; source object concrete. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,161.39999999999998,40.599999999999994,40.7,cast,CAST,,28.0,6.677836663772443,1,2157.8505106257967,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17220 (EXP_FLEX_01_a_spec_80); mix prefix 01_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,160.89999999999998,40.084999999999994,39.65,cast,CAST,,28.0,6.150801700115733,1,2137.413281403141,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17221 (EXP_FLEX_01_a_spec_81); mix prefix 01_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,161.065,39.95,40.6,cast,CAST,,28.0,7.329041273199642,1,2150.4915515059884,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17222 (EXP_FLEX_01_a_spec_82); mix prefix 01_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,160.8,39.7,40.0,cast,CAST,,28.0,5.893920056675063,1,2149.203604145519,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17223 (EXP_FLEX_01_a_spec_83); mix prefix 01_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,160.4,40.5,40.35,cast,CAST,,28.0,6.447866450125494,1,2140.6089775026994,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17224 (EXP_FLEX_01_a_spec_84); mix prefix 01_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,False,cast,160.7,41.1,40.5,cast,CAST,,28.0,6.878861754428123,1,2141.736807238659,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17225 (EXP_FLEX_01_a_spec_85); mix prefix 01_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.3,40.0,40.4,,,,28.0,5.794178174933831,1,2148.277054779714,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17226 (EXP_FLEX_01_a_spec_86); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.075,40.4,40.45,,,,28.0,5.704941778294557,1,2139.9789064519323,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17227 (EXP_FLEX_01_a_spec_87); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,159.22500000000002,40.375,40.525,,,,28.0,6.094262495813398,1,2128.4072719261926,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17228 (EXP_FLEX_01_a_spec_88); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,159.75,40.325,40.55,,,,28.0,6.0805191385592074,1,2099.764217126736,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17231 (EXP_FLEX_01_a_spec_91); mix prefix 01_a; full orientation W.U; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,161.25,41.2,40.05,,,,28.0,4.493008425842738,1,2104.692082138991,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17232 (EXP_FLEX_01_a_spec_92); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.60000000000002,39.95,40.9,,,,28.0,4.752208605637817,1,2085.261169415455,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17233 (EXP_FLEX_01_a_spec_93); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.5,39.900000000000006,40.35,,,,28.0,4.214118164636726,1,2119.97410636227,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17236 (EXP_FLEX_01_a_spec_96); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.95,39.974999999999994,39.9,,,,28.0,4.517639229193469,1,2103.8841808174734,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17237 (EXP_FLEX_01_a_spec_97); mix prefix 01_a; full orientation U.W; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 01,True,3d_printed,160.05,40.25,40.75,,,,28.0,6.048510543156235,1,2114.5699250925936,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 17238 (EXP_FLEX_01_a_spec_98); mix prefix 01_a; full orientation V.U; 3-point bending; condition DEFAULT; source object mortar. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 13,False,cast,160.0,40.0,40.1,cast,CAST,,30.0,10.545643372864596,1,2307.9021197007482,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 18761 (EXP_FLEX_13_a_spec_1); mix prefix 13_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast M. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 13,False,cast,160.0,40.0,39.9,cast,CAST,,30.0,9.848399193472403,1,2289.708646616542,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 18762 (EXP_FLEX_13_a_spec_2); mix prefix 13_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast M. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
RILEM TC 304-ADC participating lab 13,False,cast,160.0,40.0,40.0,cast,CAST,,30.0,10.30078125,1,2270.703125,measured,10.5281/zenodo.12200570,"RILEM TC 304-ADC ILS-mech (2024), DOI 10.5281/zenodo.12200570","Source specimen 18763 (EXP_FLEX_13_a_spec_3); mix prefix 13_a; full orientation CAST; 3-point bending; condition DEFAULT; source object cast M. One specimen, not an average. Full context: provenance.csv keyed by sample_id. Unrecognized optional units remain only in the ledger. No X/Y/Z projection, guessed material/print join, effect or uncertainty estimate.",
